Aika,Signaali
0.640309547,-2.028657913
0.648244117,-2.04518652
0.65614817,-2.016091347
0.66408274,-2.070426941
0.671956275,-2.08288908
0.67982981,-2.035326242
0.687794898,-2.056286097
0.695668433,-2.079659224
0.703603004,-2.012640476
0.711507056,-1.939146042
0.719411109,-1.906387329
0.72734568,-1.898219585
0.735219215,-1.784528971
0.743153785,-1.719894171
0.751057838,-1.695715666
0.758931373,-1.674307585
0.766896461,-1.663881302
0.774739478,-1.627734661
0.782704566,-1.611584187
0.790608619,-1.641738415
0.798451637,-1.605199337
0.806386207,-1.594730377
0.81429026,-1.570945263
0.82222483,-1.539967537
0.830098365,-1.49005127
0.8379719,-1.458957195
0.845936988,-1.396459103
0.853810523,-1.258682489
0.861775611,-1.143807173
0.869649146,-1.007086039
0.877522681,-0.9077978134
0.885487769,-0.7510170937
0.893361305,-0.5780386925
0.901295875,-0.377872467
0.909199928,-0.243534565
0.91710398,-0.1617078781
0.925038551,-0.06656074524
0.932942603,-0.02371120453
0.940907691,0.02856016159
0.948811744,0.1520490646
0.956654762,0.3072109222
0.964619849,0.4176077843
0.972462867,0.5139722824
0.980397437,0.6301336288
0.988240455,0.7531075478
0.996144508,0.7907977104
1.004109596,0.8383641243
1.011952613,0.8526339531
1.019978736,0.7988538742
1.027852271,0.7543692589
1.035725806,0.7182412148
1.043690894,0.6463518143
1.05156443,0.6124367714
1.059499,0.5865764618
1.067403053,0.4991650581
1.075307105,0.4520368576
1.083241676,0.4581155777
1.091084693,0.5042071342
1.099019263,0.6808381081
1.106923316,0.8977565765
1.114766334,0.9638972282
1.122731422,1.076978683
1.130635474,1.013623238
1.138570045,0.8766231537
1.146413062,0.74102211
1.154317115,0.458750248
1.162251685,0.2567071915
1.170155738,0.1112504005
1.178090308,-0.006610393524
1.185933326,-0.075340271
1.193837379,-0.2764492035
1.201771949,-0.3941135406
1.209645484,-0.6192781925
1.217610572,-0.9479017258
1.225484107,-1.202119112
1.23338816,-1.387566566
1.24132273,-1.630420446
1.249226783,-1.854874134
